,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Leshukonskoye,95,RU,1617701521,76,64.8989,45.7622,42.89,12.62
1,Vaini,40,TO,1617701522,83,-21.2,-175.2,75.2,4.61
2,Camacha,0,PT,1617701523,63,33.0833,-16.3333,66.2,8.05
3,Pisco,53,PE,1617701524,83,-13.7,-76.2167,68.0,9.22
4,Kudahuvadhoo,86,MV,1617701526,69,2.6708,72.8944,83.46,10.87
5,Cherskiy,12,RU,1617701527,100,68.75,161.3,-23.31,4.45
6,Hambantota,20,LK,1617701462,70,6.1241,81.1185,91.4,6.91
7,Maridi,89,SS,1617701529,46,4.9158,29.4742,84.69,5.32
8,Tateyama,40,JP,1617701433,67,34.9833,139.8667,57.0,20.71
9,Ushuaia,75,AR,1617701410,46,-54.8,-68.3,46.4,18.41
10,Castro,97,BR,1617701533,88,-24.7911,-50.0119,58.17,7.45
11,Marawi,62,PH,1617701534,84,7.9986,124.2928,82.0,11.99
12,Ilulissat,90,GL,1617701535,86,69.2167,-51.1,19.4,1.14
13,Qaanaaq,100,GL,1617701537,72,77.484,-69.3632,-2.65,2.62
14,Hermanus,65,ZA,1617701538,49,-34.4187,19.2345,75.0,4.0
15,Busselton,14,AU,1617701539,69,-33.65,115.3333,73.99,3.0
16,Upernavik,100,GL,1617701541,95,72.7868,-56.1549,10.51,5.01
17,Neuquén,0,AR,1617701542,77,-38.9516,-68.0591,66.2,4.61
18,Ternate,90,ID,1617701544,77,0.8,127.4,82.54,10.63
19,Tuktoyaktuk,100,CA,1617701545,98,69.4541,-133.0374,-7.42,10.49
20,New Norfolk,8,AU,1617701546,68,-42.7826,147.0587,59.0,2.06
21,Lompoc,100,US,1617701543,81,34.6391,-120.4579,50.0,5.75
22,Albany,1,US,1617701548,70,42.6001,-73.9662,39.0,6.08
23,Cape Town,0,ZA,1617701550,49,-33.9258,18.4232,73.0,5.75
24,Dingle,100,PH,1617701551,74,10.9995,122.6711,80.2,8.25
25,Fortuna,1,US,1617701552,100,40.5982,-124.1573,43.0,9.22
26,Grand Gaube,4,MU,1617701553,70,-20.0064,57.6608,84.99,10.0
27,Saint Anthony,1,US,1617701555,88,45.0205,-93.218,60.8,8.05
28,Xingcheng,1,CN,1617701556,33,40.6167,120.7167,53.2,9.82
29,Japura,94,ID,1617701557,77,-0.3167,102.35,85.01,0.31
30,Mogadishu,40,SO,1617701558,62,2.0371,45.3438,87.8,9.22
31,Hobart,20,AU,1617701560,88,-42.8794,147.3294,59.0,3.44
32,Tautira,20,PF,1617701561,78,-17.7333,-149.15,77.0,4.61
